State,Population,0to4,5to9,10to14,15to19,20to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,60to64,65to69,70to74,75to79,80to84,85plus
AL,5029833,298037,307612,318823,325268,327507,301125,304250,319372,320432,312076,295390,295143,288524,305286,271075,206092,136245,97578
AK,792188,55816,57322,55442,51361,50901,53176,53002,59348,60013,53189,42556,37252,35073,37088,34439,27805,16848,11556
AZ,8238407,538345,534538,517044,518462,531761,546185,523585,523704,459548,429159,405161,409640,428822,530312,480711,408216,266145,187070
AR,3155798,196811,199062,207351,203645,205993,190605,190791,191478,199266,194225,182758,177709,174518,194066,167527,130681,86132,63181
CA,43751116,2914432,2995312,2843279,2980616,3017363,3124792,3141436,3290930,2815736,2560079,2308462,2223741,2213624,2162227,1914793,1469162,989843,785289
CO,6766983,438802,443628,430639,423145,464190,504740,486910,494874,453481,426180,373213,348081,324938,334062,303740,241064,160460,114837
CT,3601202,207443,220687,218454,223632,203028,219940,236804,254003,238597,218157,196973,196461,214381,217165,191977,145959,104763,92777
DE,1082192,63177,65027,63651,68078,69908,67832,66809,71883,66587,62648,57138,58334,65240,71196,62586,46105,31450,24542
DC,888891,49000,47665,41886,59326,81062,76315,74468,77625,72732,69690,56802,47153,42000,31076,26340,15960,10991,8802
FL,25372664,1366286,1412146,1410319,1451858,1479823,1490209,1563298,1657218,1626659,1482971,1350197,1421904,1585344,1854966,1631213,1212514,786411,589328
GA,11835126,790179,792808,788784,792549,836971,858930,836978,835583,754506,691921,639191,631761,603694,618340,512451,398390,267375,184716
HI,1548831,89660,90741,88499,87297,102161,99355,94070,101339,95725,94371,87470,84963,90665,91679,86061,71087,49875,43813
ID,2008329,140641,143328,147916,139180,133894,123158,121751,121102,126857,124448,111179,99031,94218,105398,97071,83305,55008,40843
IL,12709901,799537,827788,813176,834620,812345,859502,861827,882998,812587,788226,725636,688259,665964,680982,605808,476659,316759,257226
IN,6978254,445113,454821,465959,471411,475909,443408,447528,454240,441001,425594,397303,385798,371063,382840,342009,263050,174664,136542
IA,3317412,203300,209740,218182,218517,228639,198592,195318,204855,209675,211659,192566,176528,178437,186851,176048,137986,92595,77925
KS,3011782,201212,202164,206899,200395,214182,197054,186530,190200,185634,185563,164512,151057,147258,162312,151090,120961,80268,64491
KY,4648190,275899,280398,292496,290238,308504,290998,288368,295684,292531,291555,280359,275499,270701,279106,244169,184001,121757,85927
LA,4945783,314400,325513,329645,329668,334272,302988,300699,312726,330591,338441,298854,272683,276311,271448,245439,173189,109749,79168
ME,1344841,61804,68424,71329,73840,67045,65353,70473,81254,88012,83417,78805,84596,94473,101214,94591,73201,49843,37168
MD,6553548,403900,418766,412341,412668,410273,430539,446735,482591,457451,417899,365330,349550,362388,359586,307777,230155,157649,127948
MA,7420882,415578,434214,427287,467819,481137,498022,503642,531690,498499,456185,410341,414999,448555,430479,381228,274171,192809,154225
MI,10068941,591603,631271,625335,657332,605045,600689,627986,673776,648871,588506,560647,577637,597779,598697,555336,419847,281968,226615
MN,6070551,372829,386338,390621,381793,386666,392457,383017,404231,397473,394298,345180,315923,324642,345239,313885,243000,161678,131279
MS,3003963,190282,195385,201931,204568,204082,173913,173911,182022,183472,189514,178572,172144,167603,178296,157178,118911,77286,54894
MO,6318126,383039,396074,403875,403928,407158,390129,388054,407290,406326,396286,357493,343558,343536,383215,341574,261498,172245,132848
MT,1163353,65214,69254,72585,70298,69463,60863,62507,70115,80531,80292,70471,63635,63136,71859,71449,57109,37037,27532
NE,2089841,138646,140679,142252,139252,146975,137168,127862,131428,133332,133602,117682,108442,103632,110737,103036,79725,52801,42590
NV,3591043,233000,228709,216358,208968,220970,251456,254622,258189,215904,199828,183903,180798,180194,224759,182137,168263,107180,75803
NH,1385799,69015,76956,75523,80605,71168,72498,81842,92624,94000,83476,75583,81317,92377,100117,90141,68026,46179,34353
NJ,9363317,572364,589579,588801,578425,550840,611558,638539,683404,624306,578012,533633,519756,538517,529560,459002,337026,232337,197657
NM,2132823,132153,136978,137405,134504,127534,121975,119999,128041,131328,127504,115171,109506,112092,136897,125861,109756,72605,53514
NY,20638066,1223663,1272714,1249499,1333006,1330066,1370888,1408128,1500942,1442945,1330697,1191192,1119604,1166109,1108513,966107,711470,495622,416902
NC,11673849,722316,721697,729832,740178,840638,804661,770812,779099,703876,670929,645904,662075,654208,675143,574343,449534,303846,224760
ND,923452,55773,56603,58414,60718,73672,54468,52713,57192,66893,65769,56010,49681,50200,47685,47970,31882,20258,17551
OH,11837405,706961,739143,748655,760804,732606,717640,732183,774033,756995,727465,681296,680330,685734,688500,645019,480643,324675,254723
OK,4253604,278072,280793,289103,285052,304719,275947,264351,265131,268095,272389,243230,228120,217854,233004,211240,157066,103585,75854
OR,4738074,279149,285625,290304,288783,287508,298637,304734,324897,316418,307599,282767,260937,251000,254965,244375,211776,143279,105322
PA,12946245,706918,757832,768437,814909,796882,747327,771128,857971,866113,812324,730298,731442,775788,804429,745529,568847,378336,311733
RI,1068663,57410,61391,60056,71191,72033,63793,67454,72783,71205,64074,58369,58731,65229,65836,59074,44194,30418,25421
SC,5792247,345124,351199,358930,371376,395285,355640,348824,365426,367979,350443,332122,337818,348914,355673,309145,229862,154780,113708
SD,973361,62904,63408,66325,63458,66661,56828,53824,57858,62078,63961,57123,50888,51756,56239,53138,39867,25610,21434
TN,7395106,446043,453642,466774,467701,493242,479521,477944,485830,469635,451264,428239,427653,421356,430667,374453,287929,193482,139729
TX,34738482,2535896,2533479,2503539,2465156,2534902,2557642,2461705,2389309,2198682,2078877,1881616,1784860,1662091,1620783,1395650,1016145,650363,467788
UT,3786963,326599,311241,305565,297611,311760,286266,246949,228937,216400,222305,210491,168791,143653,146095,133516,109517,69797,51468
VT,617969,28420,32280,32581,36615,34101,30142,33320,38933,41354,38308,35342,35955,40012,44197,42018,34047,23044,17301
VA,9331666,559094,571314,570907,584716,643969,638232,619092,655420,615211,593326,531524,511736,513744,523540,450716,339712,232976,176438
WA,8746493,539726,553141,553063,545399,561772,573019,586520,629277,601416,573458,503453,468500,460823,457735,416241,332165,223322,167461
WV,1746577,86706,91148,98878,101517,104117,91469,95747,101964,111728,112070,112904,113449,113030,115474,109399,88355,58619,40004
WI,5971617,340617,362800,371739,372183,375531,354321,355919,380958,384248,383843,345007,326096,340883,369216,333329,263418,173411,138096
WY,605972,36229,37392,39986,37326,39733,33779,33856,35796,42582,43501,36412,32005,30118,34262,34031,28463,17638,12864
